平台,link,品牌,产品,型号,类别,价格,总评价数,好评率,好评数,中评数,差评数,追评数,晒图数,标题,产品ID,抓取时间
京东,https://item.jd.com/10907807744.html,博皓（prooral）,博皓（prooral）成人电动牙刷,【品牌直营，到手价仅99元】博皓(prooral)电动牙刷2110成人声波震动牙刷感应充电配3软刷头 银色,家用电器,109.00,10000,0.98,10000,60,40,50,500,"品牌直营，到手价仅99元】博皓(prooral)', '2110', '声波震动', '感应充电配3软刷头 银色",10907807744,2018-05-17 23:54:33
京东,https://item.jd.com/25200714288.html,康佳（KONKA）,康佳（KONKA）成人电动牙刷,康佳（KONKA） 电动牙刷充电式成人声波震动全自动口腔护理洁牙护齿牙刷 KZ-5S 女王粉,家用电器,99.00,1200,0.99,1200,3,5,2,60,"康佳（KONKA） ', '充电式', '声波震动全自动口腔护理洁牙护齿', ' KZ-5S 女王粉",25200714288,2018-05-17 23:54:33
京东,https://item.jd.com/26834489158.html,志高（CHIGO）,志高（CHIGO）成人电动牙刷,志高（CHIGO）【一年免费换新】声波振动电动牙刷 成人充电式杜邦软毛牙刷 清洁敏感美白 丁香紫,家用电器,79.00,100,1.0,100,0,0,0,10,"志高（CHIGO）【一年免费换新】声波振动', ' ', '充电式杜邦软毛', ' 清洁敏感美白 丁香紫",26834489158,2018-05-17 23:54:33
京东,https://item.jd.com/26335786305.html,BlingBelle,BlingBelle成人电动牙刷,BlingBelle 德国贝儿硅胶电动牙刷成人 充电式声波震动贝尔电动牙刷 蓝色粉红 粉红色,家用电器,79.00,30,1.0,30,0,0,0,6,"德国贝儿硅胶', ' 充电式声波震动贝尔', ' 蓝色粉红 粉红色",26335786305,2018-05-17 23:54:33
京东,https://item.jd.com/25308810014.html,拜尔（BAIR）,拜尔（BAIR）成人电动牙刷,拜尔（BAIR） 【德国牙医推荐】X7 智能5档电动牙刷续航约80天智能提醒 成人声波震动 X7钢琴黑（5刷头）,家用电器,268.00,100,1.0,100,0,0,1,10,"拜尔（BAIR） 【德国牙医推荐】X7 智能5档', '续航约80天智能提醒 ', '声波震动 X7钢琴黑（5刷头",25308810014,2018-05-17 23:54:33
京东,https://item.jd.com/11641236833.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷充电式成人声波震动牙刷 HX6730升级版自动牙刷 HX6616/51 优雅靓紫,家用电器,379.00,100,0.99,100,1,0,0,10,"飞利浦（PHILIPS） ', '充电式', '声波震动', ' HX6730升级版自动', ' HX6616/51 优雅靓紫",11641236833,2018-05-17 23:54:33
京东,https://item.jd.com/26878432384.html,丹龙,丹龙成人电动牙刷,丹龙（DanLong）声波电动牙刷成人家用非充电式智能防水情侣牙刷 樱花粉-标配,家用电器,129.00,10000,0.99,10000,20,20,10,200,"丹龙（DanLong）声波', '家用非充电式智能防水情侣', ' 樱花粉-标配",26878432384,2018-05-17 23:54:33
京东,https://item.jd.com/10720534992.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX6972 充电式成人牙刷 高端系列带消毒器柜旅行盒,家用电器,599.00,100,1.0,100,0,0,1,10,"飞利浦（PHILIPS） ', 'HX6972 充电式', ' 高端系列带消毒器柜旅行盒",10720534992,2018-05-17 23:54:33
京东,https://item.jd.com/26596947363.html,BlingBelle,BlingBelle成人电动牙刷,德国 贝琳贝儿 硅胶电动牙刷 成人 充电式 声波清洁  贝尔 电动牙刷 口腔清洁 保护牙齿健康 蓝色,家用电器,88.00,10,1.0,10,0,0,0,0,"德国 贝琳贝儿 硅胶', ' ', ' 充电式 声波清洁  贝尔 ', ' 口腔清洁 保护牙齿健康 蓝色",26596947363,2018-05-17 23:54:33
京东,https://item.jd.com/25972650510.html,松下（Panasonic）,松下（Panasonic）成人电动牙刷,松下（Panasonic） 充电式电动牙刷EW-DL84 成人智能声波振动牙刷 3种刷头 EW-DL84,家用电器,799.00,0,1.0,0,0,0,0,0,"松下（Panasonic） 充电式', 'EW-DL84 ', '智能声波振动', ' 3种刷头 EW-DL84",25972650510,2018-05-17 23:54:33
京东,https://item.jd.com/18653013905.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX6511HX6231HX6730成人声波震动牙刷 情侣款,家用电器,746.00,1500,0.98,1500,8,8,6,80,"飞利浦（PHILIPS） ', 'HX6511HX6231HX6730', '声波震动', ' 情侣款",18653013905,2018-05-17 23:54:33
京东,https://item.jd.com/6020595.html,舒客,舒客成人电动牙刷,舒客舒客成人声波电动牙刷 美白去渍充电声波牙刷,家用电器,289.00,900,0.99,900,1,2,5,30,"舒客（Saky）', ' ', '充电声波', 'G2412（鹅卵灰）剑网3定制款",6020595,2018-05-17 23:54:33
京东,https://item.jd.com/10746162513.html,力博得（LEBOND）,力博得（LEBOND）成人电动牙刷,力博得（LEBOND） 声波电动牙刷 情侣礼盒 充电式全自动电动牙刷成人家用牙刷软毛 一见倾心（情侣礼盒蓝+红）,家用电器,299.00,4800,0.99,4700,9,9,8,100,"力博得（LEBOND） 声波', ' 情侣礼盒 充电式全自动', '家用', '软毛 一见倾心（情侣礼盒蓝+红",10746162513,2018-05-17 23:54:33
京东,https://item.jd.com/10123051805.html,赛嘉（seago）,赛嘉（seago）成人电动牙刷,赛嘉 声波电动牙刷 软毛刷头 成人/儿童通用款 蔷薇红,家用电器,39.00,600,0.95,600,10,10,4,80,"赛嘉 声波', ' 软毛刷头 ', '/儿童通用款 蔷薇红",10123051805,2018-05-17 23:54:33
京东,https://item.jd.com/21892238836.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷成人声波电动牙刷自动牙刷钻石亮白系列 粉钻9362+黑钻9352 情侣款,家用电器,2199.00,300,0.99,300,1,2,4,40,"飞利浦（PHILIPS） ', '声波', '自动', '钻石亮白系列 粉钻9362+黑钻9352 情侣款",21892238836,2018-05-17 23:54:33
京东,https://item.jd.com/26991631579.html,小米（MI）,小米（MI）成人电动牙刷,小米（MI）电动牙刷儿童成人智能充电式便携震动软毛声波自动牙刷情侣 米家电动牙刷头(MINI型)3支装,家用电器,75.00,2900,0.99,2900,10,5,6,90,"小米（MI）', '儿童', '智能充电式便携震动软毛声波自动', '情侣 米家', '头(MINI型)3支装",26991631579,2018-05-17 23:54:33
京东,https://item.jd.com/16604738593.html,iSonic,iSonic成人电动牙刷,iSonic 电动牙刷头 适用于成人牙刷PST3/T3S 刷头4支 iSonic牙刷头,家用电器,199.00,100,0.98,100,2,0,1,1,"头 适用于', 'PST3/T3S 刷头4支 iSonic', '头",16604738593,2018-05-17 23:54:34
