平台,link,品牌,产品,型号,类别,价格,总评价数,好评率,好评数,中评数,差评数,追评数,晒图数,标题,产品ID,抓取时间
京东,https://item.jd.com/27948351341.html,小诗玛（XISMA）,小诗玛（XISMA）洁面仪,XISMA电动洁面仪女 面部清洁器 洗脸仪洗脸机女士洗脸器 去油祛黑头送三种电动刷头 白色,家用电器,168.00,4,1.0,4,0,0,0,3,"电动', '女 面部清洁器 洗脸仪洗脸机女士洗脸器 去油祛黑头送三种电动刷头 白色",27948351341,2018-05-17 23:55:32
京东,https://item.jd.com/12515807878.html,嫩芙（Runve）,嫩芙（Runve）洁面仪,嫩芙（Runve） RUNVE嫩芙 台湾去油脂电动洁面仪洗脸器卸妆毛孔清洁洗脸刷,家用电器,50.90,80,1.0,80,0,0,0,3,"嫩芙（Runve） RUNVE嫩芙 台湾去油脂电动', '洗脸器卸妆毛孔清洁洗脸刷",12515807878,2018-05-17 23:55:32
京东,https://item.jd.com/27423711544.html,科莱丽（Clarisonic）,科莱丽（Clarisonic）洁面仪,科莱丽（Clarisonic）声波电动洁面仪 Smar Profile Uplift 清洁按摩美容仪 洁面仪Smart Profile Up,家用电器,2499.00,0,1.0,0,0,0,0,0,"科莱丽（Clarisonic）声波电动', ' Smar Profile Uplift 清洁按摩美容仪 ', 'Smart Profile Up",27423711544,2018-05-17 23:55:32
京东,https://item.jd.com/26339937488.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）洁面仪,飞利浦（PHILIPS） SC5265/12 洁肤洁面仪,家用电器,999.00,0,1.0,0,0,0,0,0,飞利浦（PHILIPS） SC5265/12 洁肤,26339937488,2018-05-17 23:55:32
京东,https://item.jd.com/25416952342.html,too cool for school,too cool for school洁面仪,涂酷（too cool for school） 洗脸刷洗脸仪洁面仪,家用电器,9.90,10,1.0,10,0,0,0,0,涂酷（too cool for school） 洗脸刷洗脸仪,25416952342,2018-05-17 23:55:32
京东,https://item.jd.com/28003441139.html,康美森（Konmison）,康美森（Konmison）洁面仪,康美森硅胶洁面仪家用充电式电动洗面仪刷洗脸神器毛孔清理美容 蓝色,家用电器,99.00,0,1.0,0,0,0,0,0,"康美森硅胶', '家用充电式电动洗面仪刷洗脸神器毛孔清理美容 蓝色",28003441139,2018-05-17 23:55:32
京东,https://item.jd.com/12840564680.html,松下（Panasonic）,松下（Panasonic）洁面仪,松下（Panasonic） 泡沫洁面仪EH-SC65-P 电动毛孔清洁器充电洁肤洗脸仪 粉色EH-SC65-P,家用电器,1099.00,40,1.0,40,0,0,0,2,"松下（Panasonic） 泡沫', 'EH-SC65-P 电动毛孔清洁器充电洁肤洗脸仪 粉色EH-SC65-P",12840564680,2018-05-17 23:55:32
京东,https://item.jd.com/27198582010.html,睿琪智盛,睿琪智盛洁面仪,硅胶洁面仪 洗脸仪  硅胶防水洗脸刷 电动毛孔清洁器 美容仪 脸部清洁仪 蓝色,家用电器,68.00,0,1.0,0,0,0,0,0,"硅胶', ' 洗脸仪  硅胶防水洗脸刷 电动毛孔清洁器 美容仪 脸部清洁仪 蓝色",27198582010,2018-05-17 23:55:32
京东,https://item.jd.com/25900521490.html,科莱丽（Clarisonic）,科莱丽（Clarisonic）洁面仪,科莱丽（Clarisonic） 洁面仪Mia2限量版“爱神之冕” 纹身王冠定制款 Mia2粉 限量版“爱神之冕”,家用电器,1199.00,0,1.0,0,0,0,0,0,"科莱丽（Clarisonic） ', 'Mia2限量版“爱神之冕” 纹身王冠定制款 Mia2粉 限量版“爱神之冕",25900521490,2018-05-17 23:55:32
京东,https://item.jd.com/17158003732.html,佩丽（PEILLY）,佩丽（PEILLY）洁面仪,佩丽（PEILLY） Peilly佩丽 电动充电洁面仪硅胶洗脸刷家用毛孔清洁器洗脸仪器 浪漫粉,家用电器,169.00,3,1.0,3,0,0,0,0,"佩丽（PEILLY） Peilly佩丽 电动充电', '硅胶洗脸刷家用毛孔清洁器洗脸仪器 浪漫粉",17158003732,2018-05-17 23:55:32
京东,https://item.jd.com/12156060839.html,MKS,MKS洁面仪,美克斯（MKS）NV8268升级版电动洁面仪美容仪器家用洗脸机毛孔清洁器去油黑头 白色 白色,家用电器,199.00,8,0.87,7,1,0,0,1,"美克斯（MKS）NV8268升级版电动', '美容仪器家用洗脸机毛孔清洁器去油黑头 白色 白色",12156060839,2018-05-17 23:55:32
